date	Symbols	open	high	low	close	volume
2014-11-04	ABBV	63.21	63.61	62.32	62.66	9741769
2014-11-05	ABBV	63.49	63.67	62.2	62.54	6464989
2014-11-06	ABBV	62.75	63.39	62.42	62.71	5152441
2014-11-07	ABBV	62.31	62.33	61.31	61.5	7002595
2014-11-10	ABBV	61.99	64.06	61.87	63.79	9513163
2014-11-11	ABBV	63.69	64.2	63.5	63.85	5041212
2014-11-12	ABBV	63.56	64.02	63.56	63.76	5366690
2014-11-13	ABBV	64.25	64.79	63.4	63.63	4510242
2014-11-14	ABBV	63.98	64.0	63.13	64.0	4684899
2014-11-17	ABBV	64.08	65.41	64.03	65.04	7117084
2014-11-18	ABBV	64.78	66.24	64.78	66.05	6432239
2014-11-19	ABBV	65.88	66.15	65.22	65.5	5710909
2014-11-20	ABBV	65.04	65.68	64.93	65.19	4975545
2014-11-21	ABBV	66.41	67.36	65.75	67.36	9165941
2014-11-24	ABBV	67.4	68.06	67.4	67.78	7730440
2014-11-25	ABBV	67.64	68.21	67.15	68.06	7550833
2014-11-26	ABBV	68.34	68.86	67.88	68.7	4045983
2014-11-28	ABBV	69.0	69.48	68.89	69.2	2953678
2014-12-01	ABBV	69.08	69.5	68.83	69.11	4885108
2014-12-02	ABBV	68.88	69.49	68.65	69.27	6491493
2014-12-03	ABBV	69.17	69.48	68.41	68.5	5821231
2014-12-04	ABBV	68.35	69.86	68.29	69.57	7670135
2014-12-05	ABBV	69.52	70.17	69.34	69.71	4360127
2014-12-08	ABBV	69.81	70.76	69.35	69.42	5452120
2014-12-09	ABBV	68.21	69.19	67.61	69.14	6838923
2014-12-10	ABBV	69.44	69.44	67.53	67.58	8575718
2014-12-11	ABBV	66.48	67.96	66.24	67.03	9518016
2014-12-12	ABBV	66.53	67.17	65.01	65.27	9221434
2014-12-15	ABBV	65.75	66.47	64.81	65.62	7231014
2014-12-16	ABBV	65.11	66.94	64.8	65.25	8545063
2014-12-17	ABBV	65.5	66.74	65.09	66.57	5934879
2014-12-18	ABBV	67.86	68.01	67.2	67.92	7184735
2014-12-19	ABBV	67.69	68.62	66.84	67.71	12631038
2014-12-22	ABBV	68.04	68.25	66.83	66.97	12876593
2014-12-23	ABBV	67.23	67.32	64.02	64.35	12122958
2014-12-24	ABBV	64.75	66.95	64.75	66.21	4713104
2014-12-26	ABBV	66.51	67.24	66.51	66.98	4158161
2014-12-29	ABBV	66.58	67.37	66.42	67.14	3875718
2014-12-30	ABBV	66.77	67.16	66.02	66.3	5568775
2014-12-31	ABBV	66.72	67.1	65.35	65.44	3989061
2015-01-02	ABBV	65.62	66.4	65.49	65.89	5087291
2015-01-05	ABBV	65.5	66.1	63.88	64.65	8007433
2015-01-06	ABBV	65.62	65.75	63.7	64.33	5488211
2015-01-07	ABBV	64.57	67.05	64.48	66.93	8283283
2015-01-08	ABBV	68.16	68.29	67.42	67.63	7948950
2015-01-09	ABBV	66.69	67.2	65.11	65.78	8779934
2015-01-12	ABBV	66.34	66.93	65.31	65.76	6159840
2015-01-13	ABBV	65.72	66.07	62.91	63.39	13908387
2015-01-14	ABBV	62.62	64.07	61.86	63.7	9448317
2015-01-15	ABBV	64.0	64.11	62.87	62.89	6149083
2015-01-16	ABBV	62.95	64.62	62.64	64.54	8106002
2015-01-20	ABBV	65.06	65.29	62.75	63.45	9065315
2015-01-21	ABBV	63.1	63.45	62.28	62.7	7979499
2015-01-22	ABBV	63.2	63.45	61.88	62.98	8941679
2015-01-23	ABBV	63.66	63.66	62.35	62.43	6881063
2015-01-26	ABBV	62.26	63.04	61.68	62.83	8181088
2015-01-27	ABBV	62.33	63.5	62.2	63.1	6532303
2015-01-28	ABBV	63.44	63.56	61.69	61.85	6910126
2015-01-29	ABBV	62.12	63.38	61.59	63.12	8485561
2015-01-30	ABBV	62.09	62.68	60.12	60.35	17582492
2015-02-02	ABBV	61.49	61.49	58.65	60.7	11491076
2015-02-03	ABBV	61.6	61.76	59.98	61.65	10721752
2015-02-04	ABBV	58.95	58.95	56.65	56.91	31250641
2015-02-05	ABBV	57.55	58.26	56.15	57.99	18964680
2015-02-06	ABBV	57.71	57.83	56.69	56.9	13890916
2015-02-09	ABBV	55.67	56.35	55.18	55.48	22522028
2015-02-10	ABBV	55.93	57.01	55.6	56.89	18916988
2015-02-11	ABBV	57.36	57.83	56.26	56.69	14681602
2015-02-12	ABBV	57.4	57.58	56.16	57.05	11940929
2015-02-13	ABBV	57.35	58.1	56.9	58.05	11303213
2015-02-17	ABBV	58.95	59.0	57.9	58.72	12789690
2015-02-18	ABBV	59.15	59.48	58.31	59.24	10781655
2015-02-19	ABBV	58.92	59.08	58.65	59.0	8665548
2015-02-20	ABBV	59.61	61.34	59.22	61.3	15533974
2015-02-23	ABBV	61.54	61.9	60.24	60.57	11582706
2015-02-24	ABBV	60.85	61.3	60.52	60.87	7900656
2015-02-25	ABBV	61.1	61.1	60.21	60.62	9983859
2015-02-26	ABBV	60.35	60.81	60.27	60.52	7328227
2015-02-27	ABBV	60.53	60.99	60.37	60.5	8649102
2015-03-02	ABBV	60.3	60.75	60.06	60.46	6150884
2015-03-03	ABBV	60.35	60.45	59.44	59.62	7421012
2015-03-04	ABBV	59.32	60.42	59.03	60.27	8535995
2015-03-05	ABBV	57.21	59.48	56.65	56.86	47051781
2015-03-06	ABBV	56.95	57.4	55.44	55.64	22852963
2015-03-09	ABBV	55.93	56.03	55.26	55.54	14779867
2015-03-10	ABBV	55.22	56.3	54.78	55.84	17907725
2015-03-11	ABBV	56.19	56.88	55.66	56.62	14629020
2015-03-12	ABBV	56.78	58.91	56.65	58.0	18227835
2015-03-13	ABBV	58.12	58.87	57.35	58.0	10114502
2015-03-16	ABBV	58.46	59.7	58.33	59.12	12098670
2015-03-17	ABBV	58.72	60.18	58.7	59.73	10983550
2015-03-18	ABBV	59.76	60.42	59.25	59.89	11889203
2015-03-19	ABBV	60.09	61.48	59.99	61.19	14110516
2015-03-20	ABBV	61.5	61.73	60.32	60.4	13313128
2015-03-23	ABBV	60.05	61.19	59.62	60.48	7926391
2015-03-24	ABBV	60.65	60.82	59.45	59.63	7969986
2015-03-25	ABBV	60.08	60.09	58.21	58.22	11619183
2015-03-26	ABBV	57.98	58.09	57.22	57.27	10853908
2015-03-27	ABBV	57.63	58.05	57.31	57.65	6830106
2015-03-30	ABBV	57.93	58.34	57.79	58.24	5781909
2015-03-31	ABBV	58.01	58.81	57.71	58.54	12313641
2015-04-01	ABBV	58.48	58.49	56.33	57.1	14903269
2015-04-02	ABBV	57.44	57.81	56.9	57.01	8787023
2015-04-06	ABBV	56.81	57.89	56.68	57.61	10280058
2015-04-07	ABBV	58.25	58.75	57.79	58.42	10171505
2015-04-08	ABBV	58.5	58.98	57.95	58.81	11075839
2015-04-09	ABBV	59.2	60.43	59.05	60.32	12697994
2015-04-10	ABBV	60.5	62.33	60.32	62.0	17894654
2015-04-13	ABBV	61.81	62.16	61.06	61.2	11400898
2015-04-14	ABBV	61.4	61.81	60.51	61.72	13071393
2015-04-15	ABBV	62.1	62.7	61.97	62.03	11534244
2015-04-16	ABBV	61.8	62.91	61.65	62.59	9815626
2015-04-17	ABBV	62.12	62.79	61.87	62.29	9905645
2015-04-20	ABBV	62.91	64.0	62.8	63.54	12779184
2015-04-21	ABBV	63.89	64.24	63.27	63.61	8457272
2015-04-22	ABBV	63.6	64.73	63.56	64.52	13874280
2015-04-23	ABBV	65.26	65.31	62.73	64.25	18405300
2015-04-24	ABBV	64.31	66.37	64.14	66.07	14859514
2015-04-27	ABBV	66.02	66.66	64.86	65.02	18141681
2015-04-28	ABBV	64.6	66.49	64.2	66.49	13084866
2015-04-29	ABBV	65.7	66.18	65.51	65.63	9864264
